,Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken,n_PCA,Fator_balanc,Normalizacao
133,ExtraTreeClassifier,0.6788866259334692,0.5877310302717174,0.5877310302717174,0.677837657501041,0.024023056030273438,3,0.37,SIM
134,SGDClassifier,0.736591989137814,0.5176827693102557,0.5176827693102557,0.6420173672796353,0.037001609802246094,3,0.37,SIM
135,DummyClassifier,0.6126951799049559,0.5076213569432376,0.5076213569432375,0.613081259539202,0.017003774642944336,3,0.37,SIM
136,NearestCentroid,0.5257976917854719,0.5986273220450435,0.5986273220450435,0.5456966451837713,0.01800227165222168,3,0.37,NAO
137,RandomForestClassifier,0.7141887304820095,0.5585167093304526,0.5585167093304526,0.6797312581374089,1.3369996547698975,3,0.37,NAO
138,BaggingClassifier,0.7012898845892735,0.5489020924825626,0.5489020924825627,0.6697500911976181,0.28300023078918457,3,0.37,NAO
139,KNeighborsClassifier,0.6951799049558723,0.5451286958972311,0.5451286958972311,0.6655307331026478,0.11598348617553711,3,0.37,NAO
140,XGBClassifier,0.7172437202987101,0.5437618891054695,0.5437618891054696,0.6698707459628588,0.5429842472076416,3,0.37,NAO
141,ExtraTreesClassifier,0.7050237610319077,0.5426311030741411,0.5426311030741411,0.6665697019429941,0.820000171661377,3,0.37,NAO
142,DecisionTreeClassifier,0.636795655125594,0.5413300533101618,0.5413300533101618,0.6382194466219854,0.059001922607421875,3,0.37,NAO
143,LGBMClassifier,0.7267481330617787,0.5374233813203072,0.5374233813203072,0.6654071154632374,0.17000102996826172,3,0.37,NAO
144,ExtraTreeClassifier,0.6371350984385608,0.5351459571170241,0.535145957117024,0.6361752614701196,0.02400040626525879,3,0.37,NAO
145,NuSVC,0.6680244399185336,0.5125408045842043,0.5125408045842043,0.6370717957064989,5.029995918273926,3,0.37,NAO
146,PassiveAggressiveClassifier,0.7267481330617787,0.5089523496395106,0.5089523496395106,0.6337761716088512,0.02900075912475586,3,0.37,NAO
147,DummyClassifier,0.6126951799049559,0.5076213569432376,0.5076213569432375,0.613081259539202,0.017995357513427734,3,0.37,NAO
148,LabelSpreading,0.7264086897488119,0.5067154364622719,0.5067154364622719,0.6309161394426803,5.836996793746948,3,0.37,NAO
149,LabelPropagation,0.7230142566191446,0.5043963270003053,0.5043963270003053,0.6290389833642389,3.908999443054199,3,0.37,NAO
150,QuadraticDiscriminantAnalysis,0.709775967413442,0.503772809469012,0.503772809469012,0.6318137875982058,0.018998146057128906,3,0.37,NAO
151,LogisticRegression,0.7294636795655126,0.5011836265000822,0.5011836265000822,0.6216733626176638,0.029999494552612305,3,0.37,NAO
152,AdaBoostClassifier,0.7264086897488119,0.5011014302153542,0.5011014302153544,0.6230661827706102,0.3660283088684082,3,0.37,NAO
153,RidgeClassifier,0.7318397827562797,0.5008020008924168,0.5008020008924169,0.6197828248289673,0.02600717544555664,3,0.37,NAO
154,RidgeClassifierCV,0.7318397827562797,0.5008020008924168,0.5008020008924169,0.6197828248289673,0.022999286651611328,3,0.37,NAO
155,LinearSVC,0.7308214528173795,0.5005072685000352,0.5005072685000352,0.6199031878239424,0.3390026092529297,3,0.37,NAO
156,LinearDiscriminantAnalysis,0.7311608961303462,0.5003381790000234,0.5003381790000234,0.6194477006684684,0.030999183654785156,3,0.37,NAO
