,Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken,n_PCA,encoder,Fator_balanc,Normalizacao
109,XGBClassifier,0.7885416666666667,0.6114458923923788,0.6114458923923788,0.7636963542679347,1.406066656112671,6,LabelEncoder,N/A,SIM
110,RandomForestClassifier,0.7897916666666667,0.6092150248025319,0.6092150248025319,0.7633657719291782,5.325823068618774,6,LabelEncoder,N/A,SIM
111,KNeighborsClassifier,0.7702083333333334,0.6060788118967513,0.6060788118967514,0.752103117412786,0.25870585441589355,6,LabelEncoder,N/A,SIM
112,GaussianNB,0.8008333333333333,0.6048447310111755,0.6048447310111754,0.7665799987514826,0.036010026931762695,6,LabelEncoder,N/A,SIM
113,BaggingClassifier,0.7820833333333334,0.5995471761992425,0.5995471761992426,0.755367435434382,0.9143893718719482,6,LabelEncoder,N/A,SIM
114,LabelSpreading,0.7660416666666666,0.5993590034248957,0.5993590034248956,0.7473453599733826,32.36861610412598,6,LabelEncoder,N/A,SIM
115,LinearDiscriminantAnalysis,0.803125,0.5975528470767473,0.5975528470767474,0.7638047485085123,0.10200333595275879,6,LabelEncoder,N/A,SIM
116,LabelPropagation,0.7604166666666666,0.5970956401350612,0.5970956401350612,0.7435741579042899,10.661377429962158,6,LabelEncoder,N/A,SIM
117,ExtraTreesClassifier,0.781875,0.5967170274445079,0.5967170274445079,0.753995671909954,1.4372248649597168,6,LabelEncoder,N/A,SIM
118,SVC,0.801875,0.5859647293183763,0.5859647293183763,0.7567329490651772,7.647521734237671,6,LabelEncoder,N/A,SIM
119,LogisticRegression,0.7995833333333333,0.5834822089821138,0.5834822089821138,0.7544262402298482,0.055336713790893555,6,LabelEncoder,N/A,SIM
120,CalibratedClassifierCV,0.7995833333333333,0.5828081121358593,0.5828081121358593,0.7540208886085975,2.8015928268432617,6,LabelEncoder,N/A,SIM
121,DecisionTreeClassifier,0.7077083333333334,0.5797693863300415,0.5797693863300415,0.7088229315759913,0.1822662353515625,6,LabelEncoder,N/A,SIM
122,BernoulliNB,0.7908333333333334,0.5647193429520605,0.5647193429520605,0.7397949601506412,0.033002614974975586,6,LabelEncoder,N/A,SIM
123,LinearSVC,0.7947916666666667,0.5642273731685272,0.5642273731685272,0.7405292448712353,0.9478340148925781,6,LabelEncoder,N/A,SIM
124,RidgeClassifierCV,0.7941666666666667,0.5621408469437417,0.5621408469437417,0.7389138433236242,0.038665056228637695,6,LabelEncoder,N/A,SIM
125,RidgeClassifier,0.7939583333333333,0.5620070855740252,0.5620070855740252,0.7387681866148741,0.04483938217163086,6,LabelEncoder,N/A,SIM
126,ExtraTreeClassifier,0.6979166666666666,0.560337713451406,0.560337713451406,0.6975070762175437,0.038980722427368164,6,LabelEncoder,N/A,SIM
127,PassiveAggressiveClassifier,0.6625,0.5298461668676866,0.5298461668676865,0.6685791925465838,0.04843544960021973,6,LabelEncoder,N/A,SIM
128,SGDClassifier,0.7797916666666667,0.5037022426567276,0.5037022426567275,0.6858987860601514,0.057070255279541016,6,LabelEncoder,N/A,SIM
129,DummyClassifier,0.6502083333333334,0.4912828395498363,0.4912828395498363,0.6497936356891713,0.030002117156982422,6,LabelEncoder,N/A,SIM
130,Perceptron,0.630625,0.5986985094297987,0.5986985094297987,0.659008657560938,0.03799939155578613,6,LabelEncoder,N/A,NAO
131,NearestCentroid,0.5202083333333334,0.595214668105546,0.595214668105546,0.5556861975087511,0.027016639709472656,6,LabelEncoder,N/A,NAO
132,GaussianNB,0.5004166666666666,0.5781257084818312,0.5781257084818312,0.5358318233197941,0.03501629829406738,6,LabelEncoder,N/A,NAO
133,QuadraticDiscriminantAnalysis,0.44854166666666667,0.5758275823501495,0.5758275823501495,0.4725100440088915,0.0417485237121582,6,LabelEncoder,N/A,NAO
134,RandomForestClassifier,0.779375,0.5563513223482753,0.5563513223482753,0.7310948831037877,3.4639105796813965,6,LabelEncoder,N/A,NAO
135,ExtraTreeClassifier,0.6879166666666666,0.5529060224356359,0.5529060224356359,0.689662252466339,0.037987470626831055,6,LabelEncoder,N/A,NAO
136,ExtraTreesClassifier,0.775625,0.5525954240008706,0.5525954240008706,0.7276223839644099,1.5483827590942383,6,LabelEncoder,N/A,NAO
137,KNeighborsClassifier,0.7527083333333333,0.5517006586802816,0.5517006586802815,0.7196928729028766,0.2865431308746338,6,LabelEncoder,N/A,NAO
138,DecisionTreeClassifier,0.6829166666666666,0.5507068948318234,0.5507068948318234,0.6861851316260702,0.15404796600341797,6,LabelEncoder,N/A,NAO
139,BaggingClassifier,0.7639583333333333,0.5488123199511507,0.5488123199511507,0.7218624547382102,0.8432981967926025,6,LabelEncoder,N/A,NAO
140,PassiveAggressiveClassifier,0.63,0.5423471870815234,0.5423471870815233,0.6511088700048049,0.04332470893859863,6,LabelEncoder,N/A,NAO
141,XGBClassifier,0.7727083333333333,0.53724082789975,0.53724082789975,0.7163913177946805,1.4180164337158203,6,LabelEncoder,N/A,NAO
142,LGBMClassifier,0.7816666666666666,0.5345663562193746,0.5345663562193746,0.7156626125798072,0.2751123905181885,6,LabelEncoder,N/A,NAO
143,AdaBoostClassifier,0.779375,0.5047829136098037,0.5047829136098037,0.6871996706814485,0.8338198661804199,6,LabelEncoder,N/A,NAO
144,SGDClassifier,0.7785416666666667,0.5002032870534108,0.5002032870534108,0.6821753054943603,0.058995962142944336,6,LabelEncoder,N/A,NAO
145,LogisticRegression,0.77875,0.5,0.5,0.6818851018973998,0.056293487548828125,6,LabelEncoder,N/A,NAO
146,LinearDiscriminantAnalysis,0.77875,0.5,0.5,0.6818851018973998,0.07623791694641113,6,LabelEncoder,N/A,NAO
147,CalibratedClassifierCV,0.77875,0.5,0.5,0.6818851018973998,2.959111213684082,6,LabelEncoder,N/A,NAO
148,RidgeClassifier,0.77875,0.5,0.5,0.6818851018973998,0.03790283203125,6,LabelEncoder,N/A,NAO
149,RidgeClassifierCV,0.77875,0.5,0.5,0.6818851018973998,0.03902006149291992,6,LabelEncoder,N/A,NAO
150,SVC,0.77875,0.5,0.5,0.6818851018973998,8.511541604995728,6,LabelEncoder,N/A,NAO
151,BernoulliNB,0.77875,0.5,0.5,0.6818851018973998,0.03201174736022949,6,LabelEncoder,N/A,NAO
152,LinearSVC,0.77875,0.5,0.5,0.6818851018973998,0.822704553604126,6,LabelEncoder,N/A,NAO
153,LabelPropagation,0.7583333333333333,0.49801398373099,0.49801398373099004,0.6827851179230673,10.949843168258667,6,LabelEncoder,N/A,NAO
154,LabelSpreading,0.76,0.49739883257308515,0.49739883257308515,0.6821048112677479,24.838258504867554,6,LabelEncoder,N/A,NAO
